,Topic,For_Info
425,جمعی از کارشناسان پرتوکار رشته‌های رادیولوژی و رادیوتراپی و پزشکی هسته‌ای,-1
426,زوج‌های جوان (نو مزدوجین),105
427,معلمان، بازنشستگان فرهنگی، آموزگاران در شرف بازنشستگی و کسانی که مایل به حمایت از فرهنگیان هستند,6
428,مهندسین سازمان بسیج جامعه کشاورزی,-1
429,جمعی از مادران و پدران دلسوز,-1
430,جمعی از دانشجویان پیام نور سراسر کشور,24
431,جمعی از پزشکان و داوطلبین آزمون دستیاری,57
432,جمعی از دانشجویان دکتری دانشگاه آزاد و خانواده‌های آن‌ها,24
433,جمعی از دانشجویان علوم پزشکی,-1
434,جمعی از افراد کد ۱۹,5
435,جمعی از دامپزشکان، پزشکان، آحاد مردم، انجمن های حمایت و حفاظت از محیط زیست,0
436,جمعی از فارغ‌التحصیلان رشته مهندسی منابع طبیعی دانشگاه لرستان,108
437,جمعی از دانش آموزان، معلمان مجرب و متخصصان در مباحث زیست شناسی,-1
438,جمعی از مستمری‌بگیران و مشمولین صندوق تامین اجتماعی,125
439,جمعی از فرهنگیان، دانش آموزان، دانشجویان دانشگاه روزانه و آزاد,134
440,کارکنان صنعت نفت، ایثارگران و آحاد مردم,-1
441,جمعی از دانش آموزان، داوطلبان کنکور و اولیای آنان,-1
442,جمعی از داوطلبان آزمون استخدامی آموزش پرورش و فارغ‌التحصیلان کشاورزی,-1
443,جمعی از دانشجویان، کارمندان وزارت امور خارجه,-1
444,جمعی از خانواده‌ها، جامعه‌ی فرهنگی، دانش آموزان و روانشناسان,134
445,جمعی از دانش آموزان، داوطلبان کنکور، متخصصان آموزش، اولیا,-1
446,مالباختگان آذویکو,65
447,جمعی از دانش‌آموختگان رشته‌های روانشناسی و مشاوره,108
448,جمعی از نانوایان,5
449,جمعی از دانش‌آموزان رشته انسانی,108
450,فعالین کسب‌وکارهای دیجیتال، کاربران اینترنت، عموم مردم,0
451,جمعی از بازنشستگان نیمه دوم ۱۴۰۰,-1
452,جمعی از ملت عزیز ایران اسلامی,70
453,جمعی از نیروی‌های نظافتچی بیمارستان (متصدیان خدمات عمومی),-1
454,جمعی از گروه معلولین و مدیران مراکز توانبخشی کشور,-1
455,فرهنگیان شاغل,-1
456,جمعی از کارمندان و کارگران بهزیستی,17
457,خانه‌ی ویگنیسم اخلاقی و کنشگران و دوستداران زیستگاه و حقوق جانوران و زمین,0
458,نابینایان، کم‌بینایان، انجمن‌های نابینایان و کم‌بینایان، تمامی اقشار مردم,-1
459,جمعی از بانوان ایران,-1
460,بازنشستگان، فرهنگیان، هنرآموزان,47
461,جمعی از مردم ایران و بخصوص خانواده‌های دارای فرزند طیف اتیسم,103
462,بازنشستگان و مستمری بگیران تامین اجتماعی,8
463,دانشجویان مراکز بین‌الملل دانشگاه پیام نور,96
464,سندیکای مجازی کارکنان بانک‌ها,3
465,جمعی از ملت شریف ایران,70
466,جمعی از مردم مسلمان و دلسوز کشور ایران,70
467,طرفداران پرورش داخلی حلزون و حلزون‌داران ایران,0
468,اعضای هیات علمی و کارکنان دانشگاه‌های پیام نور، وزارت علوم، دانشگاه آزاد اسلامی,52
469,متقاضیان آزمون‌های استخدامی آموزش و پرورش,61
470,قبول شدگان آزمون استخدامی آموزش و پرورش1403(آموزگاری،دبیری،هنرآموز،کیفیت بخشی),1
471,جامعه مهندسین نظام مهندسی ساختمان,20
472,ثبت‌نام کنندکان دور دوم سامانه یکپارچه خودرو,19
473,عموم شهروندان مهربان حامیان کودکان و دوستدار آزادی حیوانات و حفظ طبیعت و موسسه عزیزستان,0
474,مهندسین ناظر جهادکشاورزی دهه 80,49
475,کارگران پیمانکاری نیروی انسانی,3
476,غرفه‌سازان و پیمانکاران نمایشگاه بین المللی,44
477,حامیان حیوانات و مردم ایران,0
478,کارگران و متقاضیان مسکن ملی کل کشور,60
479,نیروهای خدماتی وزارت آموزش و پرورش,46
480,داوطلبین آزمون‌های سنجش، فرهنگیان، موسسات آموزشی، دانش‌آموزان,-1
481,مستأجران و متقاضیان نهضت ملی مسکن,60
482,کاربران گوشی‌های همراه هوشمند,59
483,کارگران روابط کار,129
484,ایثارگران,2
485,مردم ایران,18
486,جامعه هدف که خودروی سواری فرسوده دارند,19
487,کاربران دیسکورد و گیمرها و استریمرها و فروشگاه‌ها,66
488,گیمرها و توسعه‌دهندگان فعال ایران,66
489,جوانان متاهل,-1
490,نانوایان,2
491,مشتریان خودروی پارس اولویت تحویل زمستان 1402,19
492,صاحبان این کسب و کار و عموم مردم,-1
493,اتحادیه املاک شهرستان میبد و صنف املاک کشور,44
494,پخش سیما ، شرکتی‌های صدا و سیما,100
495,دانش‌آموزان، اولیا و فرهنگیان,35
496,دانشجویان و فارغ‌التحصیلان رشته‌های مرتبط با وزارت میراث فرهنگی، اساتید دانشگاه، فعالان حوزه میراث فرهنگی,-1
497,فعالین اقتصادی,44
498,معلولان تحت پوشش بهزیستی,-1
499,کادر درمان,-1
500,آقایان و حتی بانوان در همه اقشار,15
501,کانال اقتصاد اسلامی، مسلمانان اهل بصیرت و ...,22
502,اکثر مردمی که به مراجع قضایی مراجعه میکنند,-1
503,جمعی از کارکنان سازمان آموزش فنی و حرفه ای کشور,82
504,فعالان حوزه شهری,44
505,کارمندان، بازنشستگان,132
506,فارغ‌التحصیلان مقطع لیسانس علاقه‌مند به قبولی در آزمون لیسانس به پزشکی، اساتید دانشگاهی، دانشجویان مقطع لیسانس,-1
507,دانشجویان و فارغ‌التحصیلان دانشگاه فرهنگیان,-1
508,بانوان شاغل متاهل با سابقه ۲۰ سال و نیز خانواده‌های این افراد,-1
509,پزشکان و رزیدنت‌های پزشکی,78
510,کارکنان دولت، معلمان ، کارگران و کلیه دردمندان جامعه,47
511,شرکت کنندگان فراخوان استخدامی دستگاه های اجرایی بنیاد ملی نخبگان و فارغ التحصیلان رشته برنامه ریزی شهری و طراحی شهری,-1
512,تمامی اقشار,15
513,بازنشستگان فرهنگی,105
514,حامیان فلسطین و فعالین حوزه بین‌الملل و آحاد مردم,0
515,جامعه‌ی کارگران، بازنشستگان، مستمری‌بگیران، مستضعفان,47
516,معلولین,2
517,کارگران فعال در تامین اجتماعی و صنایع کشور و بازنشستگان کشوری و لشکری و...,-1
518,ملت شریف ایران، جامعه معلولان کشور,18
519,کارگران، کارفرمایان، تولیدکنندگان، نخبگان علمی و فن‌آوری,-1
520,دانشجویان پزشکی و دندانپزشکی,78
521,پرسنل شاغل در مراکز جامع خدمات سلامت شهری و روستایی تابعه‌ی معاونت‌های بهداشتی علوم پزشکی‌های کشور و خانه‌های بهداشت و پایگاه‌های سلامت تحت پوشش آن مراکز,6
522,دانشجویان علوم پزشکی,37
523,انقلابیون مسلمان و آزادی خواهان و مبارزان ضد گلوبالیسم و امپریالیسم,0
